Species,Tissue,CellType,Marker,Resource
Mouse,Kidney,Kidney distal convoluted tubule epithelial cell,"Slc12a3, Umod, Pvalb, Pgam2, Wnk1, Cwh43, Defb1, Hsd11b2, Klk1, Scnn1g, Slc8a1","34001902, 29474909, 34155061, 29622724, 35709763, 35809207, 32978267, 34279220, 34003797, 33301705, 33875568, 33769948, 33998598, 35852860"
Mouse,Kidney,Kidney granular cell,"Ren1, Pdgfrb","34155061, 35709763"
Mouse,Kidney,Kidney loop of Henle ascending limb epithelial cell,"Slc12a1, Umod, Cldn10","29622724, 35809207, 33301705, 33998598, 35852860"
Mouse,Kidney,Kidney loop of Henle cortical thick ascending limb epithelial cell,"Slc12a1, Slc5a1, Umod",33769948
Mouse,Kidney,Kidney loop of Henle descending limb epithelial cell,"Aqp1, Bst1, Proser2","35809207, 33998598, 35852860"
Mouse,Kidney,Kidney loop of Henle epithelial cell,"Slc12a1, Umod, Gata3, Kcnj1, Pou3f3, Sim1, Sim2, Slc12a3","33197428, 34861215, 34001902, 34622165, 32978267, 33115917, 33301705, 35947676, 32651222, 29622724"
Mouse,Kidney,Kidney loop of Henle thick ascending limb epithelial cell,"Slc12a1, Umod, Egf, Mrps6, Sostdc1, Wfdc15b","33197428, 29474909, 34155061, 34853151, 35213222, 35709763, 34279220, 34003797"
Mouse,Kidney,Kidney loop of Henle thin ascending limb epithelial cell,Pax8,35213222
Mouse,Kidney,Kidney loop of Henle thin descending limb epithelial cell,"Aqp1, Pax8, Slc39a8","33197428, 34155061, 35213222, 34279220"
Mouse,Kidney,Kidney proximal convoluted tubule epithelial cell,"Slc34a1, Slc5a12, Slc5a2","35709763, 32978267, 35852860"
Mouse,Kidney,Kidney proximal straight tubule epithelial cell,Slc7a12,35709763
Mouse,Kidney,Kidney tubule cell,"Fxyd2, Atp1b1, Defb1, Hnf4a, Hsd11b2, Kcnj1, Ldhb, Pvalb, Sfrp1, Slc12a3, Umod, Wfdc15b","34789782, 29794128"
Mouse,Kidney,Leydig cell,"Acta2, Ccn2",35110364
Mouse,Kidney,Macrophage,"C1qa, Adgre1, C1qb, Cx3cr1, Lyz2, Aif1, Cd68, Apoe, C1qc, Plac8, Chil3, Csf1r, Mki67, Ace, Ccr2, Cd14, Cd74, Cd81, Cfb, Cxcl9, Ear2, Fcgr1, Gngt2, Hp, Ly6c2, Ly6i, Nr4a1, Pou2f2, Saa3, Top2a, Vcan, Alox5ap, Ccl3, Cd83, Cdca3, Fcer1g, H2-Eb1, Itgam, Ly6c1, Ncf2","29474909, 34367152, 35110364, 29622724, 34622165, 35213222, 35809207, 31689386, 33115917, 34279220, 34995099, 34003797, 33301705, 35112806, 35941120, 35947676, 33875568, 32651222, 33998598, 35852860"
Mouse,Kidney,Macula densa cell,"Nos1, Slc12a1, Slc5a1, Umod",33769948
Mouse,Kidney,Macula densa epithelial cell,"Nos1, Slc12a1",35709763
Mouse,Kidney,Mast cell,"Kit, Ly6c1, Mcpt4","35552540, 35112806, 35852860"
Mouse,Kidney,Memory B cell,"Ifit3, Isg15",35110364
Mouse,Kidney,Mesangial cell,"Acta2, Des, Itga8, Myh11, Myl9, Pcp4l1, Pdgfrb, Ptn, Rergl, Rgs5, Sfrp2, Tpm2, Vim, 2810025M15Rik, 4-Sep, 4930523C07Rik, 8-Sep, Abi2, Actn4, Adam9, Adamts5, Adcy6, Afap1l2, Agtr1a, Airn, Akr1b7, Alad, Ano1, Anxa1, Aoc3, Apbb2, App, Arid5b, Arpc1b, Arpc2, Arpc5, Art3, Atp1b2, Bcam, Blmh, Bnip2, Btg1, Cald1, Calm1, Camta1, Cbfa2t3, Ccn2, Ccnd1, Cd151, Cd200, Cd248, Cd9, Cep112, Chp1, Cited2, Col1a1, Col4a1, Col4a2, Col4a3bp, Cpd, Cpm, Crip1, Crip2, Csnk1e, Cspg4, Csrp2, Cst3, Ctgf, Cyb5r3, Dag1, Dbi, Ddah1, Dkk2, Dlk1, Dstn, Dusp3, Ebf1, Ednrb, Efnb2, Emid1, Epas1, Eps8, Esam, Ets1, F2r, Fabp5, Fam107b, Fam115a, Fam162a, Fam81a, Fermt2, Fhl1, Flna, Frmd6, Gata3, Gja5, Gjc1, Gm13889, Gm26771, Gnai1, Gnas, Gng11, Gpr126, Hbegf, Hes1, Heyl, Hip1, Hmg20b, Hmgcs2, Hopx, Hs3st3b1, Hspb1, Htatsf1, Igf2, Igfbp5, Igfbp7, Il13ra1, Ilk, Iqgap1, Itga1, Itga4, Jag1, Kcnj8, Klf7, Lgalsl, Limch1, Limd1, Lmna, Lmo7, Lpp, Map3k7cl, Mcam, Mecom, Mef2c, Meis1, Mfge8, Mgst3, Mir143hg, Msn, Mustn1, Myl6, Mylip, Mylk, Myo1b, Nab1, Ndrg2, Ndufa4l2, Nostrin, Notch3, Nrarp, Nrp1, Nt5e, Oaz2, Oraov1, Pdgfa, Pfn1, Phtf2, Pkig, Plk2, Pln, Pls3, Plscr2, Postn, Ppp1r12a, Prex2, Prkcdbp, Psen2, Ptp4a3, Ptrf, Rap1a, Rap2a, Rapgef4, Rasgrp2, Rasl11a, Rbpms, Rcan2, Ren1, Rgs2, Rgs3, Rnf144a, Robo1, Rsu1, S100a13, S100a6, Serinc3, Serpini1, Sh2b3, Slc12a2, Slc6a6, Sorbs2, Sparcl1, Sptbn1, Steap4, Synpo, Tagln, Tagln2, Tenc1, Tgfb2, Tinagl1, Tm4sf1, Tns1, Tns3, Tpm1, Tppp3, Uba2, Vasp, Vcl, Zak, Zfhx3, Zyx","33197428, 34861215, 30283141, 34155061, 34789782, 35110364, 34279220, 29794128, 33837218, 28851704"
Mouse,Kidney,Mesenchymal cell,"Col1a1, Col3a1, Pdgfrb","32978267, 32651222, 29720573"
Mouse,Kidney,Microglial cell,Itgam,24586819
Mouse,Kidney,Microvascular endothelial cell,Pbx1,35021856
Mouse,Kidney,Monocyte,"Cd14, Ccr2, Cd68, Ly6c2, Lyz1, Lyz2","35213222, 34279220, 35112806, 33998598, 35852860, 29720573"
Mouse,Kidney,Mononuclear phagocyte,"Adgre1, C1qa, Cd209a, Cd68, Clec9a, Cx3cr1, Itgax, Lyz2","35110364, 35112806"
Mouse,Kidney,Myofibroblast cell,"Acta2, Pdgfrb, Col1a1, Col3a1, Cspg4, Rgs5, Timp1","35941120, 35852860, 29720573"
Mouse,Kidney,Naive T cell,"Ccr7, Lef1, Satb1, Sell",32051345
Mouse,Kidney,"Naive thymus-derived CD4-positive, alpha-beta T cell","Ccr7, Il7r",35852860
Mouse,Kidney,"Naive thymus-derived CD8-positive, alpha-beta T cell","Lef1, Tcf7, Cd8a, Cd8b1, Ms4a4b, Il7r","34367152, 35852860"
Mouse,Kidney,Natural killer cell,"Gzma, Nkg7, Ncr1, Tyrobp, Klrb1c, Xcl1, Ccl3, Ccl4, Ccl5, Cd3d, Cd3e, Cd7, Cma1, Eomes, Fasl, Gzmb, Ifng, Il7r, Ltb, Prf1","34367152, 35110364, 29622724, 31689386, 34003797, 33301705, 35112806, 35941120, 35947676, 33998598, 35852860"
Mouse,Kidney,Neuron,Tubb3,24586819
Mouse,Kidney,Neutrophil,"S100a8, S100a9, Csf3r, Lcn2, Ly6g, Retnlg","34367152, 35110364, 29622724, 35213222, 32978267, 35552540, 34003797, 35112806, 35941120, 33875568, 35852860"
Mouse,Kidney,Neutrophil progenitor cell,"Fcer1g, Lyz2, S100a8, S100a9, Srgn",29474909
Mouse,Kidney,Oligodendrocyte,Galc,24586819
Mouse,Kidney,Parafollicular cell,"0610007N19Rik, 6330403K07Rik, Acta2, Akap12, Alx1, Angpt1, Arl4a, Atp2b1, Basp1, Bgn, Bok, C430049B03Rik, Ccdc80, Ccnd2, Cd24a, Cdh11, Cdkn1c, Cfh, Ckb, Cldn11, Clmp, Cmtm3, Cnn2, Col14a1, Col15a1, Col16a1, Col1a1, Col1a2, Col23a1, Col3a1, Col4a1, Col4a2, Col5a1, Col6a1, Colec12, Cpq, Csrp1, Ctsl, Cux1, Cxcl12, Cxcl14, Cyba, Dclk1, Dcn, Dnajc5, Ece1, Edn3, Efemp2, Eid1, Enpep, Epb4.1l2, Epha4, Fam101b, Fblim1, Fbln5, Filip1l, Flrt2, Fn1, Fstl1, Gas6, Glipr2, Gm1673, Gng2, Heph, Hoxa10, Hoxa11, Hoxa9, Hoxd10, Hoxd11, Hsp90b1, Htra3, Id4, Igfbp2, Igfbp4, Kdelr3, Klhl13, Lama2, Lbh, Ldb2, Lef1, Lgals1, Lhfpl2, Lmo4, Lox, Lrriq1, Lsp1, Ltbp1, Map1b, Meg3, Mfap4, Mfap5, Mgll, Mllt3, Mmp2, Mmp23, Myl9, Mylk, Nav3, Ncald, Ncam1, Negr1, Nexn, Nfat5, Nkain4, Nkd1, Nkd2, Nnat, Nrep, Ntm, Nts, Oaf, Ogfrl1, Ogn, Olfml3, Palld, Pam, Pcdhga9, Pcolce, Pdgfra, Penk, Pfn2, Pja1, Pla2g4a, Plcb1, Pmp22, Postn, Prom1, Prss23, Rab34, Rarb, Rarres2, Rcn3, Rhoj, RP23-103I12.13, Rrbp1, S100a10, Sct, Sdc2, Sdf4, Sdpr, Sema3a, Sema3c, Sema5a, Sfrp1, Smoc2, Sparc, Svil, Syn3, Tagln, Tanc1, Tbx3, Tcf21, Tead1, Tgfb1i1, Thbs1, Thbs2, Thsd4, Thy1, Timp3, Tmem47, Tmsb4x, Tmtc4, Tnc, Tpm1, Trps1, Tsc22d2, Tshz3, Vimp, Wdr1, Wnt11, Wnt4, Wnt5a, Zeb2, Zfp503, Zswim6",28851704
Mouse,Kidney,Parietal cell,Pax8,34861215
Mouse,Kidney,Parietal epithelial cell,"Cldn1, Ncam1, Pax8","33197428, 34861215, 35709763, 33837218"
Mouse,Kidney,Pericyte,"Postn, S100a4, Vim","35213222, 35852860, 35722109"
Mouse,Kidney,Plasma cell,"Iglc1, Iglv1, Jchain, Apoe, Eaf2, Ighg2b, Igkc, Mzb1, Zbtb20","34367152, 35110364, 35213222, 35112806"
Mouse,Kidney,Plasmacytoid dendritic cell,"Cox6a2, Siglech, Klra17, Ccr9, Cd300c, Klk1","34367152, 35552540, 34003797, 33301705"
Mouse,Kidney,Podocyte,"Nphs1, Nphs2, Podxl, Wt1, Synpo, Mafb, Actn4, Bcam, Cdkn1c, Enpep, Fabp4, Igfbp5, Iqgap2, Itgb1, Klf14, Map4k2, Mapt, Mme, Ncam1, Npnt, Pard3b, Pla2g7, Plpp1, Plvap, Ptpro, Tcf21, Tm4sf1","33197428, 34861215, 34001902, 30283141, 29474909, 34155061, 34789782, 35110364, 29622724, 35709763, 33115917, 35947676, 34279220, 33301705, 35941120, 29794128, 32651222, 33998598, 35852860, 33837218"
Mouse,Kidney,Progenitor cell,"Six2, Cited1, Foxd1","33197428, 34789782"
Mouse,Kidney,"Proliferating CD8-positive, alpha-beta T cell","Cd8a, Cd8b1, Mki67, Pclaf, Top2a",34367152
Mouse,Kidney,Regulatory T cell,"Foxp3, Cd4, Ctla4, Ikzf2, Il10, Il2ra, Klrg1, Tnfrsf18","34367152, 32051345, 33301705"
Mouse,Kidney,Renal alpha-intercalated cell,Kit,"35709763, 33301705, 33998598"
Mouse,Kidney,Renal beta-intercalated cell,Slc26a4,"35709763, 33301705, 33998598"
Mouse,Kidney,Renal intercalated cell,"Atp6v1b1, Slc26a4, Slc4a1, Atp6v1g3","34155061, 31689386, 33769948"
Mouse,Kidney,Renal interstitial pericyte,"Col1a1, Col3a1, Cspg4, Rgs5, Timp1",29720573
Mouse,Kidney,Smooth muscle cell,"Akr1b7, Fxyd2, Id1, Kap, Klf2, Lbh, Map3k7cl, Plac9, Rergl, Zfhx3","34279220, 34411694, 33875568"
Mouse,Kidney,Stem cell,"Lgr5, Ly6a","34789782, 22999937"
Mouse,Kidney,Stromal cell,"Col1a1, Col1a2, Col3a1, Dcn, Gsn, Meis1, Ankrd1, Atf3, Cldn11, Col18a1, Col4a2, Ctsl, Cxcl10, Fos, Hbegf, Igfbp7, Krt8, Prdx1, Sfrp5, Sp7, Sparc, Tmem176b, Tnfrsf12a, Vim","29474909, 34789782, 32978267, 33115917, 30696882"
Mouse,Kidney,T cell,"Cd3g, Cxcr6, Ccl5, Cd3d, Cd4, Ltb, Thy1, Tnfrsf18, Bcl11b, Cd3e, Cd40lg, Cd8a, Ctla4, Fam189b, Foxp3, Gimap3, Icos, Ifng, Il10, Il2ra, Il7r, Itk, Lef1, Ms4a4b, Nkg7, Rapgef6, Rasgrp1, Rgs1, Rpl12, Rplp1, Rps16, Rps23, Rps4x, Satb1, Socs2, Tpt1, Trac, Trbc2","29474909, 35110364, 29622724, 35213222, 35809207, 31689386, 33115917, 34279220, 34003797, 35112806, 35941120, 35947676, 34367152"
Mouse,Kidney,T-helper 1 cell,"Ifng, Ccl4, Ccl5, Itgb1, Nkg7, Tcf7","34367152, 32051345"
Mouse,Kidney,T-helper 17 cell,"Il17a, Tmem176a, Lgals3, Rorc, Tmem176b","34367152, 35110364, 32051345"
Mouse,Kidney,Tissue-resident macrophage,"C1qa, C1qb, Ccl8, Gpx3, Mrc1, Spp1","35110364, 35112806"
Mouse,Kidney,Tissue-resident regulatory T cell,"Areg, Ctla4, Il1rl1, Tnfrsf18, Tnfrsf4, Tnfrsf9",32051345
Mouse,Kidney,Transitional epithelial cell,Upk1b,34155061
Mouse,Kidney,Type 1 conventional dendritic cell,"Cd209a, Itgae",35213222
Mouse,Kidney,Type 2 conventional dendritic cell,"Cd209a, Clec10a, Il13, Il4","34367152, 35110364"
Mouse,Kidney,Type I NK T cell,"Anxa1, Klrk1, Ly6c2",35110364
Mouse,Kidney,Ureteric bud cell,"Calb1, Gata3",34789782
Mouse,Kidney,Ureteric bud tip cell,Ret,33197428
Mouse,Kidney,Urothelial cell,"Fxyd3, Sprr1a, Upk1a, Upk2, Upk3a","29474909, 34003797"
Mouse,Kidney,Vasa recta ascending limb cell,Clcnka,"34155061, 31836710"
Mouse,Kidney,Vascular associated smooth muscle cell,"Cnn1, S100a4, Vim","31689386, 34003797, 35852860"
Mouse,Body of stomach,Foveolar cell of stomach,"Muc5ac, Tff1",31481545
Mouse,Body of stomach,Hepatic pit cell,"Muc5ac, Tff1",31481545
Mouse,Body of stomach,Macrophage,"Cd14, Csf1r, Lyz2",31481545
Mouse,Body of stomach,Mucous neck cell,"Muc6, Gkn3","32835664, 31481545, 35523142"
Mouse,Body of stomach,Neuroendocrine cell,"Chga, Chgb, Hdc, Sst",31481545
Mouse,Body of stomach,Parietal cell,"Atp4a, Atp4b",31481545
Mouse,Body of stomach,Peptic cell,"Cblif, Gper1, Pgc","32835664, 31481545, 35523142"
Mouse,Body of stomach,Smooth muscle cell,"Acta2, Myl9",31481545
Mouse,Body of stomach,Sperm,"Tff2, Cd44, Cftr, Gkn3, Wfdc2","32835664, 31481545"
Mouse,Body of stomach,Stem cell,"Lgr5, Tnfrsf19",35523142
Mouse,Body of stomach,Stem cell of gastric gland,Bmi1,30689202
Mouse,Ileum,Enterochromaffin-like cell,"Cga, Slc18a1, Tph1",16455786
Mouse,Ileum,Stem cell,"Ascl2, Lgr5, Rgcc, Rgmb, Smoc2, Sp5",31753849
Mouse,Thymus,B cell,"Gzma, Igha, Igkc, S100a8",29474909
Mouse,Thymus,Brush cell,"Dclk1, Trpm5",33226342
Mouse,Thymus,Chief cell of parathyroid gland,Gcm2,35371075
Mouse,Thymus,Double-positive blast,"Cd4, Cd8a, Cd8b1, Mki67",33771202
Mouse,Thymus,"Double-positive, alpha-beta thymocyte","Cd4, Cd8a, Cd8b1, Itm2a, Rag1","29474909, 33771202"
Mouse,Thymus,Endothelial cell,"Pecam1, Cdh5","35371075, 30022162"
Mouse,Thymus,Epithelial cell,"Aire, Fezf2, Cd40, Cd74, H2-Aa, Ackr4, Avil, Ccl21a, Cldn4, Dclk1, Epcam, Foxn1, Gng13, Irag2, Itga6, Ivl, Krt10, Krt5, L1cam, Ly51, Ly6a, Ly6d, Ly75, Pigr, Prss16, Sox9, Spink5, Trpm5","35371075, 33226342, 30022162"
Mouse,Thymus,Erythrocyte,"C1qb, Hbb-b1, Trbc2",30022162
Mouse,Thymus,Fibroblast,Cd34,30022162
Mouse,Thymus,Immature single positive thymocyte,"Cd8a, Cd8b1, Mki67",33771202
Mouse,Thymus,Macrophage,"C1qb, Hbb-b1, Trbc2",30022162
Mouse,Thymus,Mesenchymal cell,"Col1a2, Pdgfra",35371075
Mouse,Thymus,Mucosal invariant T cell,"Rorc, Tbx21, Zbtb16",31431722
Mouse,Thymus,Naive NKT17 cell,sdc1,26300525
Mouse,Thymus,Natural killer cell,"Klrb1c, Klrk1",31712600
Mouse,Thymus,Progenitor cell,Il2ra,33771202
Mouse,Thymus,Regulatory T cell,Nrp1,24170313
Mouse,Thymus,T cell,"Cd4, Cd8a, Cd3e, Cd3g, C1qb, Cd3d, Hbb-b1, Ptprc, Sell, Trbc2","29474909, 34331993, 30022162, 1909300, 8917116, 8562871"
Mouse,Thymus,Thymocyte,"Cd4, Cd24a, Cd3e, Cd44, Cd5, Cd8a, H2-Q7, Il2ra, Klrb1c, Ly6a, Ptprc","35371075, 2642507, 8376791, 1472637"
Mouse,Thymus,Type 17 NK T cell,"Ccr6, Rorc, Zbtb16",33288744
Mouse,Thymus,Type I NK T cell,"Ifng, Il2rb, Tbx21",33288744
Mouse,Thymus,Type II NK T cell,"Cd4, Gata3, Il4, Zbtb16",33288744
Mouse,Embryonic forelimb,Mesenchymal cell,"Igdcc3, mt-Rnr1",32728245
Mouse,Mesenteric lymph node,Regulatory B cell,"Apoe, Ccdc28b, Ccnd2, Ccr1, Cd300lf, Cd9, Csf2rb, Fcrl5, Mzb1, Pdia4, Plac8, Ptpn22, Rilpl2, Rplp0, S100a6, Slc7a7, Sp140, Stmn1, Zbtb20",34594327
Mouse,Mesenteric lymph node,Regulatory T cell,"Cd4, Foxp3","35776804, 30737144"
Mouse,Mesenteric lymph node,T cell,Sell,1909300
Mouse,Mesenteric lymph node,T follicular helper cell,"Bcl6, Cd4",35776804
Mouse,Mesenteric lymph node,T-helper 1 cell,"Cd4, Tbx21",35776804
Mouse,Mesenteric lymph node,T-helper 17 cell,"Cd4, Rorc",35776804
Mouse,Mesenteric lymph node,T-helper 2 cell,"Cd4, Gata3",35776804
Mouse,Alveolar ridge,B cell,Cd79a,33723232
Mouse,Alveolar ridge,Dendritic cell,Siglech,33723232
Mouse,Alveolar ridge,Erythrocyte,Hbb-bt,33723232
Mouse,Alveolar ridge,Hematopoietic stem cell,Cd34,33723232
Mouse,Alveolar ridge,Macrophage,Csf1r,33723232
Mouse,Alveolar ridge,Megakaryocyte,Ms4a2,33723232
Mouse,Alveolar ridge,Mesenchymal cell,Col1a1,33723232
Mouse,Alveolar ridge,Natural killer cell,Klrd1,33723232
Mouse,Alveolar ridge,Neutrophil,S100a8,33723232
Mouse,Alveolar ridge,Pro-B cell,Vpreb1,33723232
Mouse,Alveolar ridge,T cell,Cd3g,33723232
Mouse,Heart left ventricle,Cardiac muscle cell,"Nkx2-5, Trdn",34859688
Mouse,Heart left ventricle,Endothelial cell,"Ldb2, Pcdh17, Aqp2, Cst6, Ephb6, Kcnk2, Lama2, Pamr1, Piezo2, Rgs16, Scx, Thbs4, Ttc9, Twist1",34859688
Mouse,Heart left ventricle,Fibroblast,"Lama2, Twist1",34859688
Mouse,Heart left ventricle,Macrophage,"Hpgds, Slamf7, Clec4e, Cxcl3, F10, Hp, Ltb4r1, Ly6c2, Mcemp1, Slc7a11, Slpi, Trem1",34859688
Mouse,Taste bud,Taste receptor cell,Chst10,1371155
Mouse,Taste bud,Type II taste cell,"Gnat3, Plcb2",29525940
Mouse,Taste bud,Type III taste bud cell,"Car4, Ddc, Gad1, Ncam1, Snap25",29525940
Mouse,Cribriform plate,B cell,"Cd4, Cd8a, Cd8b1, Itgam, Itgax, Ptprc",35347285
Mouse,Cribriform plate,"CD4-positive, alpha-beta T cell","Cd4, Itgam, Itgax, Ptprc",35347285
Mouse,Cribriform plate,"CD8-positive, alpha-beta T cell","Cd8a, Cd8b1, Itgam, Itgax, Ptprc",35347285
Mouse,Cribriform plate,Endothelial cell of lymphatic vessel,"Lyve1, Pdpn, Pecam1",35347285
Mouse,Cribriform plate,Macrophage,"Itgam, Itgax, Ptprc",35347285
Mouse,Embryonic tissue,Neuron,"Bcl11b, Satb2, Tbr1",34184026
Mouse,Ovary,Cumulus cell,"Has2, Npr2, Ube2c","32294429, 29474909, 34467391"
Mouse,Ovary,Cystocyte,"H2ac23, H2ac24, Hmgn5, Phlda2, Rhox9, Tuba1b",35623357
Mouse,Ovary,Dictyotene cell,"Figla, Ooep, Padi6, Sohlh1, Uchl1",35623357
Mouse,Ovary,Endothelial cell,"Pecam1, Aplnr, Cdh5, Cldn5, Egfl7, Flt1, Icam2, Kdr","32367190, 32294429, 33351795, 35501593, 35842051, 35786405, 33754040"
Mouse,Ovary,Endothelial cell of vascular tree,"Aplnr, Cd93, Cdh5, Cldn5, Egfl7, Emcn, Esam, Igfbp7, Kdr, Pecam1",33980714
Mouse,Ovary,Epithelial cell,"Krt19, Aldh1a2, Bcam, C1qtnf12, Cldn7, Fabp5, Hspb1, Krt8, Mt1, Podxl, Slc1a1, Upk3b","33351795, 35501593, 33980714"
Mouse,Ovary,Erythrocyte,"Alas2, Alad, Car2, Hba-a1, Hba-a2, Hbb-bs, Hbb-bt, Rhd","32367190, 33351795, 35501593, 35842051, 33754040"
Mouse,Ovary,Female germ cell,"Dmc1, Spo11",32716582
Mouse,Ovary,Female germ line stem cell,"Ddx4, Ifitm3",23598447
Mouse,Ovary,Germ cell,"Dazl, Ddx4, Pou5f1, Stra8, Dmrtc2, Dppa3, Dppa5a, Pard6a, Rec8, Smc1b, Sox2, Sycp3, Taf7l, Tex12, Tex15, Utf1","32367190, 33351795, 35501593, 35842051, 33754040, 19809506, 15162515, 11804789"
Mouse,Ovary,Granule cell precursor,"Foxl2, Fst, Amhr2, Esr2, Kitl, Lgr5, Wnt4, Wnt6","32367190, 32294429, 35842051, 33754040"
Mouse,Ovary,Granulosa cell,"Amhr2, Amh, Fshr, Kitl, Fst, Hsd3b1, Inha, Kctd14, Slc18a2, Aldh1a1, Aldh1b1, Bmpr2, Bst2, Camta1, Casp6, Ctsl, Cyp19a1, Foxl2, Gatm, Gstm2, Gstm6, Id3, Kazald1, Krt79, Maged2, Mmp11, Mphosph8, Nppc, Nr5a1, Nr5a2, Pgr, Smad3, Smad6, Snap25, Wnt4, Wnt6, Wt1","32294429, 29474909, 33351795, 35501593, 33980714, 34467391, 35786405, 33754040, 19539053"
Mouse,Ovary,Interstitial cell of ovary,"Col1a1, Bgn, Col1a2, Mgp","32367190, 32294429"
Mouse,Ovary,Leptotene,"Phlda2, Rhox9, Sycp3, Tuba1b","35623357, 32716582"
Mouse,Ovary,Luteal cell,Epdr1,"29474909, 35786405"
Mouse,Ovary,Macrophage,"Apoe, Ccr2, Csf1r, Ctss, Ighm, Laptm5, Lyz2, Mpeg1, Plac8, Srgn","29474909, 33980714"
Mouse,Ovary,Mesenchymal cell,"Col1a1, Col1a2, Col3a1, Col6a2, Cxcl12, Dcn, Dlk1, Igfbp3, Igfbp4, Kcnk3, Ltbp2, Mfap4, Mmp2, Ptch1, Sfrp1, Stmn1, Tgfbi",33980714
Mouse,Ovary,Mesothelial cell,"Lhx9, Upk3b",32367190
Mouse,Ovary,Neutrophil,"Camp, Cstdc4, Lcn2, Ltf, Mmp8, Ngp, Retnlg, S100a8, S100a9, Stfa3",33980714
Mouse,Ovary,Oocyte,"Aplf, Dppa3, Gimap1, Gm13465, Nlrp5, Ooep, Padi6, Slc39a10, Sycp3, Uchl1, Vmn1r65","33980714, 19539053"
Mouse,Ovary,Ovarian surface epithelial cell,Ly6a,"29474909, 22914315"
Mouse,Ovary,Pachytene,"Atr, Ccnb3, Myo9a, Syce3, Sycp2, Tex15",35623357
Mouse,Ovary,Primordial germ cell,"Kit, Lefty1, Lefty2, Pou5f1, Prdm1, Sall4, Sox2, Tfap2c, Utf1","32367190, 32716582"
Mouse,Ovary,Progenitor cell,"Aldh1a1, Lgr5",33980714
Mouse,Ovary,Smooth muscle cell,"Tagln, Acta2, Cnn1, Mcam, Mfap5, Myh11, Myl9, Mylk, Pdgfrb, Rgs5, Tnc","33980714, 35786405"
Mouse,Ovary,Stromal cell,"Col1a1, Col1a2, Mfap4, Nr2f2, Tcf21, Cxcl12, Igfbp3, Lum, Pdgfrb, Ptn, Stmn1, Tgfbi","29474909, 33351795, 35501593, 33980714, 35842051, 35786405, 33754040"
Mouse,Ovary,Theca cell,"Cyp11a1, Acta2, Cyp17a1, Cyp19a1, Lhcgr, Star","32294429, 29474909, 34467391"
Mouse,Ovary,Urothelial cell,Upk3b,34467391
Mouse,Ovary,Zygote,"Ccnd1, M1ap, Rec8, Stra8, Tuba3a","35623357, 32716582"
Mouse,Inner nuclear layer of retina,Amacrine cell,Pax6,27679853
Mouse,Sclera,Fibroblast,"Col1a1, Col1a2, Vim",29987045
Mouse,Sclera,Myofibroblast cell,"Acta2, Ddr2, Fap, Postn, S100a4",29987045
Mouse,Hindgut,Epithelial cell,"Cdh1, Cdx2, Epcam",34348153
Mouse,Hindgut,Erythroblast,Alas2,34348153
Mouse,Hindgut,Mesenchymal cell,"Acta2, Col14a1, Col1a1",34348153
Mouse,Hindgut,Mesenchymal stem cell,Wt1,34348153
Mouse,Hindgut,Neuroendocrine cell,"Ascl1, Stmn3",34348153
Mouse,Hindgut,Smooth muscle cell,"Cnn1, Lmod1, Myh11",34348153
Mouse,Muscle of abdomen,Endothelial cell,"Cdh5, Pecam1",35439171
Mouse,Muscle of abdomen,Endothelial cell of lymphatic vessel,"Ccl21a, Lyve1",35439171
Mouse,Muscle of abdomen,Fibroblast,"Col1a1, Fap, Mfap4, Pdgfra",35439171
Mouse,Muscle of abdomen,Glial cell,"Mbp, Plp1",35439171
Mouse,Muscle of abdomen,Macrophage,"Cd14, Cd83",35439171
Mouse,Muscle of abdomen,Mesothelial cell,Upk3b,35439171
Mouse,Muscle of abdomen,Myoblast,"Asb5, Myod1, Pax7",35439171
Mouse,Muscle of abdomen,Skeletal muscle fiber,"Acta1, Ckm",35439171
Mouse,Muscle of abdomen,Smooth muscle cell,"Pdgfrb, Rgs5",35439171
Mouse,Muscle of abdomen,T cell,"Cd52, Il7r",35439171
Mouse,Soft palate,Chondrocyte,"Col11a1, Col2a1, Col9a2",33482080
Mouse,Soft palate,Endothelial cell,Cdh5,33482080
Mouse,Soft palate,Epithelial cell,Krt14,33482080
Mouse,Soft palate,Erythrocyte,Hba-x,33482080
Mouse,Soft palate,Glial cell,"Plp1, Sox10",33482080
Mouse,Soft palate,Mesenchymal cell,"Aldh1a2, Ccnb1, Cxcl12, Dlx5, Igf1, Meis2, Meox1, Prrx1, Six2, Tbx22, Tfap2b, Top2a, Ube2c, Wnt16",33482080
Mouse,Soft palate,Neuron,"Stmn2, Tubb3",33482080
Mouse,Soft palate,Osteoblast,"Col1a1, Ibsp, Sp7",33482080
Mouse,Soft palate,Skeletal muscle satellite cell,"Myf5, Myod1",33482080
Mouse,Blood,"Activated CD8-positive, alpha-beta T cell","Ccl5, Cd8a, Cd8b1, Tcf7, Trbc2",29217582
Mouse,Blood,Adult endothelial progenitor cell,"Kit, Ly6a, Pecam1",27729946
Mouse,Blood,Alpha-beta T cell,"Cd3d, Cd3e, Cd3g",16952207
Mouse,Blood,B cell,"Cd19, Cd79a, Cd79b, Ly6d","29474909, 35092700, 35112806, 24370645, 25338846, 28759029, 29217582, 27009448"
